,Open,Date,Year
4684,65.099998,2023-01-01,2023
4685,60.990002,2024-01-01,2024
4686,26.879999,2015-08-01,2015
4687,21.719999,2016-01-01,2016
4688,39.400002,2017-01-01,2017
4689,49.349998,2018-01-01,2018
4690,41.279999,2019-01-01,2019
4691,81.25,2020-01-01,2020
4692,95.0,2021-01-01,2021
4693,106.089996,2022-01-01,2022
4694,52.27,2023-01-01,2023
4695,52.0,2024-01-01,2024
4696,60.080002,2014-01-01,2014
4697,63.360001,2015-01-01,2015
4698,41.400002,2016-01-01,2016
4699,27.65,2017-01-01,2017
4700,30.16,2018-01-01,2018
4701,21.200001,2019-01-01,2019
4702,19.75,2020-01-01,2020
4703,28.450001,2021-01-01,2021
4704,35.5,2022-01-01,2022
4705,23.49,2023-01-01,2023
4706,23.459999,2024-01-01,2024
4707,41.009998,2014-01-01,2014
4708,41.68,2015-01-01,2015
4709,26.16,2016-01-01,2016
4710,35.439999,2017-01-01,2017
4711,55.5,2018-01-01,2018
4712,58.169998,2019-01-01,2019
4713,61.970001,2020-01-01,2020
4714,66.470001,2021-01-01,2021
4715,92.059998,2022-01-01,2022
4716,60.400002,2023-01-01,2023
4717,87.190002,2024-01-01,2024
4718,17.5,2019-12-01,2019
4719,26.0,2020-01-01,2020
4720,114.779999,2021-01-01,2021
4721,295.600006,2022-01-01,2022
4722,105.040001,2023-01-01,2023
4723,121.010002,2024-01-01,2024
4724,41.439999,2021-08-01,2021
4725,36.110001,2022-01-01,2022
4726,6.47,2023-01-01,2023
4727,7.54,2024-01-01,2024
4728,30.610001,2014-11-01,2014
4729,33.810001,2015-01-01,2015
4730,27.93,2016-01-01,2016
4731,36.599998,2017-01-01,2017
4732,41.900002,2018-01-01,2018
4733,61.169998,2019-01-01,2019
4734,103.839996,2020-01-01,2020
4735,132.419998,2021-01-01,2021
4736,205.880005,2022-01-01,2022
4737,172.869995,2023-01-01,2023
4738,157.399994,2024-01-01,2024
4739,2.02,2014-01-01,2014
4740,2.27,2015-01-01,2015
4741,1.84,2016-01-01,2016
4742,1.76,2017-01-01,2017
4743,2.44,2018-01-01,2018
4744,1.76,2019-01-01,2019
4745,2.69,2020-01-01,2020
4746,8.22,2021-01-01,2021
4747,11.64,2022-01-01,2022
4748,6.72,2023-01-01,2023
4749,8.32,2024-01-01,2024
4750,41.093307,2015-08-01,2015
4751,38.473141,2016-01-01,2016
4752,20.829407,2017-01-01,2017
4753,19.255419,2018-01-01,2018
4754,13.459001,2019-01-01,2019
4755,18.360039,2020-01-01,2020
4756,11.18,2021-01-01,2021
4757,11.69,2022-01-01,2022
4758,7.6,2023-01-01,2023
4759,7.26,2024-01-01,2024
4760,9.96,2020-12-01,2020
4761,10.4,2021-01-01,2021
4762,10.16,2022-01-01,2022
4763,4.83,2023-01-01,2023
4764,0.61,2024-01-01,2024
4765,26.15,2015-04-01,2015
4766,31.709999,2016-01-01,2016
4767,35.150002,2017-01-01,2017
4768,50.380001,2018-01-01,2018
4769,64.470001,2019-01-01,2019
4770,68.790001,2020-01-01,2020
4771,83.279999,2021-01-01,2021
4772,84.559998,2022-01-01,2022
4773,76.0,2023-01-01,2023
4774,105.220001,2024-01-01,2024
4775,10.42,2014-01-01,2014
4776,11.99,2015-01-01,2015
4777,11.93,2016-01-01,2016
4778,14.15,2017-01-01,2017
4779,22.17,2018-01-01,2018
4780,15.73,2019-01-01,2019
4781,23.18,2020-01-01,2020
4782,38.509998,2021-01-01,2021
4783,38.5,2022-01-01,2022
4784,32.349998,2023-01-01,2023
4785,35.0,2024-01-01,2024
4786,33.5,2014-01-01,2014
4787,38.080002,2015-01-01,2015
4788,39.119999,2016-01-01,2016
4789,47.889999,2017-01-01,2017
4790,54.029999,2018-01-01,2018
